date,year,month,day_of_month,rainfall_mm,temp_celsius,solar_mj,power_cut,season_day
2021-08-02,2021,8,2,0.0,29.4,21.2,0,63
2021-08-03,2021,8,3,0.0,28.1,17.7,0,64
2021-08-04,2021,8,4,0.0,30.9,18.6,1,65
2021-08-05,2021,8,5,2.71,29.1,16.7,0,66
2021-08-06,2021,8,6,0.0,30.5,19.2,0,67
2021-08-07,2021,8,7,9.92,28.9,16.0,0,68
2021-08-08,2021,8,8,0.0,30.2,19.1,0,69
2021-08-09,2021,8,9,4.61,29.4,17.6,0,70
2021-08-10,2021,8,10,0.0,29.2,19.9,0,71
2021-08-11,2021,8,11,4.25,29.1,17.3,0,72
2021-08-12,2021,8,12,10.31,31.8,13.5,0,73
2021-08-13,2021,8,13,0.0,29.0,18.0,0,74
2021-08-14,2021,8,14,4.06,31.2,18.0,0,75
2021-08-15,2021,8,15,2.94,29.4,17.8,0,76
2021-08-16,2021,8,16,0.0,31.7,17.0,0,77
2021-08-17,2021,8,17,0.0,29.0,20.7,1,78
2021-08-18,2021,8,18,0.0,26.9,21.1,0,79
2021-08-19,2021,8,19,4.1,30.0,17.8,0,80
2021-08-20,2021,8,20,0.0,28.8,17.8,0,81
2021-08-21,2021,8,21,0.0,30.6,18.4,1,82
2021-08-22,2021,8,22,0.0,30.0,18.0,0,83
2021-08-23,2021,8,23,0.0,30.7,22.3,0,84
2021-08-24,2021,8,24,0.0,28.8,22.4,0,85
2021-08-25,2021,8,25,2.07,31.5,14.0,1,86
2021-08-26,2021,8,26,0.0,27.1,18.7,0,87
2021-08-27,2021,8,27,0.0,31.1,21.0,0,88
2021-08-28,2021,8,28,0.0,29.9,17.4,0,89
2021-08-29,2021,8,29,0.0,30.4,15.8,0,90
2021-08-30,2021,8,30,0.0,30.4,18.6,0,91
2021-08-31,2021,8,31,5.13,29.9,17.0,0,92
2021-09-01,2021,9,1,0.0,29.1,17.1,0,93
2021-09-02,2021,9,2,6.61,26.3,17.7,0,94
2021-09-03,2021,9,3,0.0,27.3,17.4,0,95
2021-09-04,2021,9,4,0.0,29.2,21.1,0,96
2021-09-05,2021,9,5,0.0,31.1,18.3,0,97
2021-09-06,2021,9,6,13.01,30.8,17.5,0,98
2021-09-07,2021,9,7,4.44,24.7,20.4,0,99
2021-09-08,2021,9,8,0.0,26.2,14.6,0,100
2021-09-09,2021,9,9,0.0,28.9,13.9,0,101
2021-09-10,2021,9,10,3.28,26.8,18.3,0,102
2021-09-11,2021,9,11,0.0,33.1,17.4,0,103
2021-09-12,2021,9,12,1.28,27.9,17.5,0,104
2021-09-13,2021,9,13,0.9,28.8,17.9,0,105
2021-09-14,2021,9,14,0.0,30.7,16.8,0,106
2021-09-15,2021,9,15,1.88,26.5,14.6,0,107
2021-09-16,2021,9,16,0.0,31.7,19.2,0,108
2021-09-17,2021,9,17,0.0,29.6,17.7,0,109
2021-09-18,2021,9,18,1.03,28.6,17.7,0,110
2021-09-19,2021,9,19,1.37,28.3,21.1,0,111
2021-09-20,2021,9,20,0.0,30.8,18.2,0,112
2021-09-21,2021,9,21,0.0,27.3,15.9,0,113
2021-09-22,2021,9,22,2.92,25.2,19.3,0,114
2021-09-23,2021,9,23,0.0,28.3,17.5,0,115
2021-09-24,2021,9,24,2.32,28.2,17.6,0,116
2021-09-25,2021,9,25,0.0,27.3,17.5,0,117
2021-09-26,2021,9,26,0.0,27.2,16.8,0,118
2021-09-27,2021,9,27,0.0,30.5,18.2,0,119
2021-09-28,2021,9,28,7.38,27.9,14.5,0,120
2021-09-29,2021,9,29,0.0,28.1,17.4,0,121
2021-09-30,2021,9,30,0.75,29.5,16.5,0,122
2021-10-01,2021,10,1,1.14,24.5,19.3,0,123
2021-10-02,2021,10,2,0.0,24.2,22.9,0,124
2021-10-03,2021,10,3,1.29,26.2,17.9,0,125
2021-10-04,2021,10,4,0.0,25.6,18.7,0,126
2021-10-05,2021,10,5,0.67,27.4,19.9,0,127
2021-10-06,2021,10,6,0.8,28.4,13.8,0,128
2021-10-07,2021,10,7,0.28,22.0,18.0,0,129
2021-10-08,2021,10,8,2.49,26.2,14.5,0,130
2021-10-09,2021,10,9,0.0,28.9,19.3,0,131
2021-10-10,2021,10,10,0.0,31.7,17.1,0,132
2021-10-11,2021,10,11,0.0,23.9,18.1,0,133
2021-10-12,2021,10,12,0.0,24.8,20.1,0,134
2021-10-13,2021,10,13,0.0,24.7,17.5,0,135
2021-10-14,2021,10,14,0.3,28.4,19.9,0,136
2021-10-15,2021,10,15,0.0,22.0,18.6,0,137
2021-10-16,2021,10,16,1.29,28.1,19.1,0,138
2021-10-17,2021,10,17,0.0,25.9,22.9,1,139
2021-10-18,2021,10,18,0.0,26.3,18.2,0,140
2021-10-19,2021,10,19,0.0,27.8,16.4,0,141
2021-10-20,2021,10,20,0.0,27.2,21.2,0,142
2021-10-21,2021,10,21,0.0,24.7,16.0,0,143
2021-10-22,2021,10,22,0.0,25.7,18.1,0,144
2021-10-23,2021,10,23,2.92,28.7,16.3,1,145
2021-10-24,2021,10,24,2.41,22.0,14.9,0,146
2021-10-25,2021,10,25,0.0,22.8,17.5,0,147
2021-10-26,2021,10,26,0.11,28.0,17.7,0,148
2021-10-27,2021,10,27,0.0,23.5,19.0,0,149
2021-10-28,2021,10,28,0.9,24.3,18.1,0,150
2021-10-29,2021,10,29,0.96,26.4,17.7,0,151
2021-10-30,2021,10,30,0.57,29.5,12.6,0,152
2021-10-31,2021,10,31,0.21,26.5,15.1,0,153
2022-06-01,2022,6,1,1.09,34.0,16.2,0,1
2022-06-02,2022,6,2,1.21,31.5,16.7,0,2
2022-06-03,2022,6,3,4.69,34.6,15.2,0,3
2022-06-04,2022,6,4,0.0,36.3,16.0,0,4
2022-06-05,2022,6,5,12.55,30.5,13.9,0,5
2022-06-06,2022,6,6,0.0,34.5,15.2,0,6
2022-06-07,2022,6,7,0.0,29.5,16.9,0,7
2022-06-08,2022,6,8,0.0,34.9,17.9,0,8
2022-06-09,2022,6,9,16.07,34.3,15.1,0,9
2022-06-10,2022,6,10,0.0,32.6,16.9,1,10
2022-06-11,2022,6,11,0.0,31.4,18.4,0,11
2022-06-12,2022,6,12,0.0,31.0,20.1,0,12
2022-06-13,2022,6,13,4.62,36.2,20.2,0,13
2022-06-14,2022,6,14,2.43,34.6,16.3,0,14
2022-06-15,2022,6,15,0.0,33.1,18.4,0,15
2022-06-16,2022,6,16,1.12,35.7,16.0,0,16
2022-06-17,2022,6,17,0.0,37.2,17.4,0,17
2022-06-18,2022,6,18,0.0,34.2,15.0,1,18
2022-06-19,2022,6,19,0.0,29.6,20.0,0,19
2022-06-20,2022,6,20,3.48,32.3,16.1,0,20
2022-06-21,2022,6,21,0.0,36.6,19.3,0,21
2022-06-22,2022,6,22,0.0,34.9,16.5,0,22
2022-06-23,2022,6,23,2.19,30.4,17.1,0,23
2022-06-24,2022,6,24,0.0,34.6,19.2,0,24
2022-06-25,2022,6,25,0.0,32.1,19.3,0,25
2022-06-26,2022,6,26,6.25,33.3,14.6,0,26
2022-06-27,2022,6,27,0.0,35.1,17.9,0,27
2022-06-28,2022,6,28,0.0,34.4,19.9,1,28
2022-06-29,2022,6,29,0.0,32.0,17.1,1,29
2022-06-30,2022,6,30,0.0,32.4,20.5,1,30
2022-07-01,2022,7,1,2.04,30.0,19.7,0,31
2022-07-02,2022,7,2,0.0,29.0,19.2,1,32
2022-07-03,2022,7,3,0.0,32.1,18.1,0,33
2022-07-04,2022,7,4,0.0,32.8,16.6,0,34
2022-07-05,2022,7,5,0.0,32.4,18.6,0,35
2022-07-06,2022,7,6,0.0,28.5,14.5,0,36
2022-07-07,2022,7,7,4.62,29.8,15.1,1,37
2022-07-08,2022,7,8,2.48,28.1,15.1,0,38
2022-07-09,2022,7,9,5.41,29.8,16.8,0,39
2022-07-10,2022,7,10,12.44,32.8,18.8,0,40
2022-07-11,2022,7,11,3.51,30.1,16.0,1,41
2022-07-12,2022,7,12,0.0,32.8,20.8,0,42
2022-07-13,2022,7,13,3.27,29.9,15.9,0,43
2022-07-14,2022,7,14,0.0,29.7,18.3,0,44
2022-07-15,2022,7,15,11.08,32.6,15.4,0,45
2022-07-16,2022,7,16,2.37,29.7,17.5,0,46
2022-07-17,2022,7,17,0.0,25.8,16.3,0,47
2022-07-18,2022,7,18,0.0,33.0,15.7,0,48
2022-07-19,2022,7,19,8.32,31.5,18.0,0,49
2022-07-20,2022,7,20,0.0,31.8,20.8,0,50
2022-07-21,2022,7,21,0.0,32.0,17.7,0,51
2022-07-22,2022,7,22,0.0,31.2,18.7,0,52
2022-07-23,2022,7,23,0.0,30.4,18.4,0,53
2022-07-24,2022,7,24,6.83,33.2,17.1,0,54
2022-07-25,2022,7,25,0.0,31.8,18.1,0,55
2022-07-26,2022,7,26,0.0,31.3,18.8,1,56
2022-07-27,2022,7,27,4.28,31.3,19.5,1,57
2022-07-28,2022,7,28,0.0,28.7,16.9,0,58
2022-07-29,2022,7,29,9.51,30.8,12.0,0,59
2022-07-30,2022,7,30,0.0,28.4,17.2,0,60
2022-07-31,2022,7,31,1.14,30.7,15.7,1,61
2022-08-01,2022,8,1,0.0,31.1,15.4,0,62
2022-08-02,2022,8,2,13.06,29.8,16.7,0,63
2022-08-03,2022,8,3,13.33,29.7,12.8,0,64
2022-08-04,2022,8,4,0.0,32.2,18.7,0,65
2022-08-05,2022,8,5,0.0,30.7,19.3,0,66
2022-08-06,2022,8,6,18.58,31.9,15.3,0,67
2022-08-07,2022,8,7,8.43,28.9,16.2,1,68
2022-08-08,2022,8,8,0.0,27.9,19.7,0,69
2022-08-09,2022,8,9,0.0,29.0,17.1,0,70
2022-08-10,2022,8,10,8.41,30.7,14.4,0,71
2022-08-11,2022,8,11,0.0,29.9,18.0,0,72
2022-08-12,2022,8,12,0.0,28.3,17.6,0,73
2022-08-13,2022,8,13,0.0,30.0,17.5,1,74
2022-08-14,2022,8,14,2.49,30.3,15.4,0,75
2022-08-15,2022,8,15,0.0,29.3,17.1,0,76
2022-08-16,2022,8,16,0.0,32.7,18.7,0,77
2022-08-17,2022,8,17,0.0,29.1,20.2,0,78
2022-08-18,2022,8,18,6.52,31.4,20.8,0,79
2022-08-19,2022,8,19,0.0,29.0,16.7,0,80
2022-08-20,2022,8,20,3.26,28.5,16.3,0,81
2022-08-21,2022,8,21,0.0,34.4,17.8,0,82
2022-08-22,2022,8,22,1.22,30.8,17.2,0,83
2022-08-23,2022,8,23,0.0,27.5,17.0,0,84
2022-08-24,2022,8,24,0.49,33.0,20.1,0,85
2022-08-25,2022,8,25,5.54,31.2,17.3,0,86
2022-08-26,2022,8,26,0.0,32.1,19.6,0,87
2022-08-27,2022,8,27,0.0,30.5,17.4,0,88
2022-08-28,2022,8,28,4.86,31.6,19.3,0,89
2022-08-29,2022,8,29,12.38,28.1,14.6,0,90
2022-08-30,2022,8,30,0.0,30.5,18.2,0,91
2022-08-31,2022,8,31,0.0,28.1,14.9,0,92
2022-09-01,2022,9,1,0.0,28.1,17.3,1,93
2022-09-02,2022,9,2,0.0,28.3,17.4,0,94
2022-09-03,2022,9,3,0.0,33.2,20.1,0,95
2022-09-04,2022,9,4,4.62,29.1,15.7,0,96
2022-09-05,2022,9,5,3.13,26.9,17.5,1,97
2022-09-06,2022,9,6,4.18,29.9,19.2,0,98
2022-09-07,2022,9,7,0.0,23.2,20.2,0,99
2022-09-08,2022,9,8,0.0,26.9,16.8,0,100
2022-09-09,2022,9,9,17.29,28.9,18.5,0,101
2022-09-10,2022,9,10,0.0,28.1,18.1,0,102
2022-09-11,2022,9,11,0.0,26.8,19.3,0,103
2022-09-12,2022,9,12,1.37,29.6,17.6,0,104
2022-09-13,2022,9,13,0.0,29.7,21.2,0,105
2022-09-14,2022,9,14,5.67,31.1,18.0,0,106
2022-09-15,2022,9,15,0.0,31.6,17.5,0,107
2022-09-16,2022,9,16,0.0,26.4,14.7,0,108
2022-09-17,2022,9,17,0.32,28.4,21.2,0,109
2022-09-18,2022,9,18,0.0,31.0,20.0,0,110
2022-09-19,2022,9,19,0.0,28.4,15.2,0,111
2022-09-20,2022,9,20,0.0,25.7,20.8,0,112
2022-09-21,2022,9,21,0.0,30.1,19.5,0,113
2022-09-22,2022,9,22,0.0,29.6,16.5,0,114
2022-09-23,2022,9,23,2.63,30.9,16.2,0,115
2022-09-24,2022,9,24,13.25,30.5,13.4,0,116
2022-09-25,2022,9,25,0.0,28.6,18.2,0,117
2022-09-26,2022,9,26,0.51,31.8,17.7,0,118
2022-09-27,2022,9,27,5.77,29.3,16.9,0,119
2022-09-28,2022,9,28,3.77,31.3,16.6,0,120
2022-09-29,2022,9,29,7.35,27.6,15.9,0,121
2022-09-30,2022,9,30,10.94,33.4,13.3,0,122
2022-10-01,2022,10,1,0.0,25.1,18.9,1,123
2022-10-02,2022,10,2,3.22,30.1,16.2,0,124
2022-10-03,2022,10,3,0.0,22.6,16.4,0,125
2022-10-04,2022,10,4,0.0,30.1,19.1,0,126
2022-10-05,2022,10,5,4.3,23.2,15.7,0,127
2022-10-06,2022,10,6,0.42,26.1,18.4,0,128
2022-10-07,2022,10,7,0.0,22.1,14.0,0,129
2022-10-08,2022,10,8,0.0,26.9,21.3,0,130
2022-10-09,2022,10,9,1.65,23.5,18.9,0,131
2022-10-10,2022,10,10,4.17,25.2,19.3,0,132
2022-10-11,2022,10,11,1.96,26.2,19.2,0,133
2022-10-12,2022,10,12,0.0,24.1,18.5,0,134
2022-10-13,2022,10,13,1.78,27.5,16.1,1,135
2022-10-14,2022,10,14,0.0,22.7,14.3,0,136
2022-10-15,2022,10,15,1.79,28.1,17.7,0,137
2022-10-16,2022,10,16,0.0,25.0,18.9,0,138
2022-10-17,2022,10,17,0.65,28.9,18.4,0,139
2022-10-18,2022,10,18,1.5,23.0,17.0,0,140
2022-10-19,2022,10,19,1.14,26.4,17.7,0,141
2022-10-20,2022,10,20,0.0,28.0,18.0,0,142
2022-10-21,2022,10,21,0.16,27.3,18.1,0,143
2022-10-22,2022,10,22,1.46,23.0,18.9,0,144
2022-10-23,2022,10,23,0.0,25.5,21.0,1,145
2022-10-24,2022,10,24,0.0,26.4,17.3,0,146
2022-10-25,2022,10,25,0.51,25.2,17.9,0,147
2022-10-26,2022,10,26,0.0,24.2,14.9,0,148
2022-10-27,2022,10,27,0.0,28.3,15.9,0,149
2022-10-28,2022,10,28,0.86,23.1,14.2,0,150
2022-10-29,2022,10,29,0.0,24.6,12.8,1,151
2022-10-30,2022,10,30,0.56,27.0,15.9,0,152
2022-10-31,2022,10,31,0.0,25.9,15.6,0,153
2023-06-01,2023,6,1,0.0,32.9,13.4,0,1
2023-06-02,2023,6,2,0.0,32.1,18.6,0,2
2023-06-03,2023,6,3,0.0,33.4,20.3,0,3
2023-06-04,2023,6,4,0.62,37.3,16.7,0,4
2023-06-05,2023,6,5,0.0,35.6,21.1,1,5
2023-06-06,2023,6,6,0.0,33.9,16.6,0,6
2023-06-07,2023,6,7,0.0,32.3,18.4,1,7
2023-06-08,2023,6,8,0.4,31.1,19.3,0,8
2023-06-09,2023,6,9,8.18,35.4,17.8,0,9
2023-06-10,2023,6,10,7.21,31.5,14.1,0,10
2023-06-11,2023,6,11,0.0,32.0,19.3,0,11
2023-06-12,2023,6,12,8.6,31.7,18.1,0,12
2023-06-13,2023,6,13,0.0,36.1,19.0,0,13
2023-06-14,2023,6,14,0.0,32.3,16.3,0,14
2023-06-15,2023,6,15,0.71,29.1,19.0,0,15
2023-06-16,2023,6,16,3.37,33.6,19.0,0,16
2023-06-17,2023,6,17,0.0,32.7,18.6,0,17
2023-06-18,2023,6,18,0.0,34.0,19.5,0,18
2023-06-19,2023,6,19,0.0,33.4,15.4,0,19
2023-06-20,2023,6,20,0.0,33.8,16.7,0,20
2023-06-21,2023,6,21,8.69,33.0,20.9,0,21
2023-06-22,2023,6,22,7.68,34.5,17.2,0,22
2023-06-23,2023,6,23,0.0,32.7,15.6,1,23
2023-06-24,2023,6,24,2.29,31.3,18.1,0,24
2023-06-25,2023,6,25,0.0,30.2,17.0,0,25
2023-06-26,2023,6,26,0.0,30.8,15.1,0,26
2023-06-27,2023,6,27,0.64,36.5,17.1,0,27
2023-06-28,2023,6,28,0.0,30.2,14.5,0,28
2023-06-29,2023,6,29,0.27,35.5,18.3,0,29
2023-06-30,2023,6,30,0.0,31.3,18.3,0,30
2023-07-01,2023,7,1,0.0,30.0,21.3,0,31
2023-07-02,2023,7,2,15.73,29.8,14.8,1,32
2023-07-03,2023,7,3,12.68,32.4,9.9,0,33
2023-07-04,2023,7,4,13.85,30.9,15.0,0,34
2023-07-05,2023,7,5,0.0,29.5,21.7,0,35
2023-07-06,2023,7,6,0.0,30.7,16.1,0,36
2023-07-07,2023,7,7,30.53,33.3,9.1,1,37
2023-07-08,2023,7,8,1.26,31.2,14.2,0,38
2023-07-09,2023,7,9,0.0,30.3,14.8,0,39
2023-07-10,2023,7,10,0.0,31.8,16.9,0,40
2023-07-11,2023,7,11,0.0,31.0,21.5,0,41
2023-07-12,2023,7,12,0.0,30.1,18.9,0,42
2023-07-13,2023,7,13,13.45,32.8,13.4,0,43
2023-07-14,2023,7,14,0.0,29.7,16.3,0,44
2023-07-15,2023,7,15,1.95,31.0,16.1,1,45
2023-07-16,2023,7,16,14.83,31.1,16.1,0,46
2023-07-17,2023,7,17,0.56,30.2,15.7,0,47
2023-07-18,2023,7,18,0.0,31.9,18.2,0,48
2023-07-19,2023,7,19,9.24,29.9,14.5,0,49
2023-07-20,2023,7,20,0.0,29.5,18.1,0,50
2023-07-21,2023,7,21,0.0,31.3,17.3,0,51
2023-07-22,2023,7,22,1.52,26.6,16.8,0,52
2023-07-23,2023,7,23,0.0,34.0,16.6,0,53
2023-07-24,2023,7,24,0.0,31.1,16.7,0,54
2023-07-25,2023,7,25,6.1,30.3,14.9,0,55
2023-07-26,2023,7,26,0.0,31.5,17.5,0,56
2023-07-27,2023,7,27,0.0,30.6,14.9,0,57
2023-07-28,2023,7,28,0.0,32.3,17.8,0,58
2023-07-29,2023,7,29,0.0,31.4,16.5,0,59
2023-07-30,2023,7,30,7.32,28.8,17.3,0,60
2023-07-31,2023,7,31,0.0,33.1,19.5,0,61
2023-08-01,2023,8,1,4.67,29.0,19.1,0,62
2023-08-02,2023,8,2,0.0,29.5,17.2,0,63
2023-08-03,2023,8,3,0.0,28.6,18.8,0,64
2023-08-04,2023,8,4,0.0,30.0,20.8,0,65
2023-08-05,2023,8,5,1.37,30.6,15.3,1,66
2023-08-06,2023,8,6,0.0,29.6,21.6,0,67
2023-08-07,2023,8,7,7.28,30.5,16.0,0,68
2023-08-08,2023,8,8,0.0,28.5,20.3,0,69
2023-08-09,2023,8,9,0.0,26.8,16.8,0,70
2023-08-10,2023,8,10,0.0,28.5,17.0,0,71
2023-08-11,2023,8,11,0.0,29.6,17.3,0,72
2023-08-12,2023,8,12,22.72,29.5,10.4,0,73
2023-08-13,2023,8,13,0.0,31.9,18.1,0,74
2023-08-14,2023,8,14,0.0,30.2,20.4,1,75
2023-08-15,2023,8,15,1.24,30.9,16.8,0,76
2023-08-16,2023,8,16,0.0,30.2,21.9,0,77
2023-08-17,2023,8,17,9.59,30.3,17.5,0,78
2023-08-18,2023,8,18,10.99,31.0,19.6,0,79
2023-08-19,2023,8,19,15.73,29.8,15.4,0,80
2023-08-20,2023,8,20,5.39,30.5,17.3,0,81
2023-08-21,2023,8,21,0.0,30.8,17.5,0,82
2023-08-22,2023,8,22,0.0,28.6,20.2,0,83
2023-08-23,2023,8,23,8.37,32.8,12.6,0,84
2023-08-24,2023,8,24,4.13,31.4,20.6,0,85
2023-08-25,2023,8,25,5.15,29.7,17.1,0,86
2023-08-26,2023,8,26,0.0,29.3,16.5,0,87
2023-08-27,2023,8,27,0.0,30.1,18.5,0,88
2023-08-28,2023,8,28,0.0,31.0,19.3,0,89
2023-08-29,2023,8,29,43.66,30.8,12.0,0,90
2023-08-30,2023,8,30,22.67,32.0,11.4,0,91
2023-08-31,2023,8,31,12.13,33.3,15.2,0,92
2023-09-01,2023,9,1,0.0,29.1,21.4,0,93
2023-09-02,2023,9,2,1.43,26.4,17.3,0,94
2023-09-03,2023,9,3,0.0,24.9,16.2,0,95
2023-09-04,2023,9,4,1.59,28.4,16.2,0,96
2023-09-05,2023,9,5,0.0,25.2,18.2,0,97
2023-09-06,2023,9,6,4.5,27.5,17.3,0,98
2023-09-07,2023,9,7,0.0,24.7,17.2,0,99
2023-09-08,2023,9,8,1.62,29.5,18.7,0,100
2023-09-09,2023,9,9,2.04,29.3,17.9,0,101
2023-09-10,2023,9,10,1.71,24.7,16.2,0,102
2023-09-11,2023,9,11,3.13,29.2,18.4,0,103
2023-09-12,2023,9,12,0.0,28.7,20.4,1,104
2023-09-13,2023,9,13,0.0,25.5,18.4,0,105
2023-09-14,2023,9,14,0.0,30.5,18.1,0,106
2023-09-15,2023,9,15,1.42,28.7,14.0,0,107
2023-09-16,2023,9,16,4.27,26.9,18.9,0,108
2023-09-17,2023,9,17,0.0,31.6,21.7,0,109
2023-09-18,2023,9,18,1.42,31.8,17.2,0,110
2023-09-19,2023,9,19,0.0,28.7,19.6,0,111
2023-09-20,2023,9,20,0.0,31.6,14.7,0,112
2023-09-21,2023,9,21,0.0,26.8,17.2,0,113
2023-09-22,2023,9,22,2.54,30.6,17.6,0,114
2023-09-23,2023,9,23,3.02,25.6,15.8,0,115
2023-09-24,2023,9,24,0.0,26.5,16.8,0,116
2023-09-25,2023,9,25,0.0,27.4,18.8,0,117
2023-09-26,2023,9,26,6.17,29.0,14.6,1,118
2023-09-27,2023,9,27,0.0,28.3,14.4,0,119
2023-09-28,2023,9,28,2.4,30.4,16.9,0,120
2023-09-29,2023,9,29,0.0,28.8,18.9,0,121
2023-09-30,2023,9,30,0.68,29.3,21.0,0,122
2023-10-01,2023,10,1,1.4,24.0,16.5,1,123
2023-10-02,2023,10,2,0.03,27.9,17.7,0,124
2023-10-03,2023,10,3,0.0,23.2,18.6,0,125
2023-10-04,2023,10,4,0.0,28.2,17.1,1,126
2023-10-05,2023,10,5,0.0,22.8,15.0,0,127
2023-10-06,2023,10,6,0.0,26.6,18.5,0,128
2023-10-07,2023,10,7,4.72,26.7,16.4,0,129
2023-10-08,2023,10,8,0.0,26.9,17.9,0,130
2023-10-09,2023,10,9,0.0,22.0,20.5,0,131
2023-10-10,2023,10,10,0.53,29.4,23.3,0,132
2023-10-11,2023,10,11,0.0,25.3,20.4,0,133
2023-10-12,2023,10,12,0.0,25.2,20.3,0,134
2023-10-13,2023,10,13,0.86,27.5,11.9,0,135
2023-10-14,2023,10,14,0.0,26.0,17.2,0,136
2023-10-15,2023,10,15,0.0,24.1,18.8,0,137
2023-10-16,2023,10,16,0.51,28.2,16.8,1,138
2023-10-17,2023,10,17,0.0,28.1,19.0,0,139
2023-10-18,2023,10,18,0.0,27.8,19.4,0,140
2023-10-19,2023,10,19,0.0,29.0,16.5,0,141
2023-10-20,2023,10,20,1.35,24.3,17.4,0,142
2023-10-21,2023,10,21,0.04,26.5,20.9,0,143
2023-10-22,2023,10,22,1.09,22.0,16.3,0,144
2023-10-23,2023,10,23,2.36,25.5,14.4,0,145
2023-10-24,2023,10,24,0.0,25.7,14.7,0,146
2023-10-25,2023,10,25,3.17,22.0,17.7,0,147
2023-10-26,2023,10,26,0.0,26.5,17.0,0,148
2023-10-27,2023,10,27,0.0,27.2,19.0,0,149
2023-10-28,2023,10,28,0.0,27.0,17.0,0,150
2023-10-29,2023,10,29,0.0,24.3,17.2,0,151
2023-10-30,2023,10,30,0.38,28.8,16.7,0,152
2023-10-31,2023,10,31,0.0,26.0,16.3,0,153
2024-06-01,2024,6,1,7.98,32.0,18.2,0,1
2024-06-02,2024,6,2,0.0,34.7,17.7,0,2
2024-06-03,2024,6,3,0.0,33.5,16.8,0,3
2024-06-04,2024,6,4,9.93,34.9,17.1,0,4
